T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
908.7297149	92	7	1	0	0	99.1839045	0.7092949983	0.1068004971	92	7	1							0.00311992272	-0.002732012828	-0.0003879098923	-908.7297149	0	11.4484244641531	
908.7197149	92	7	1	0.0004508581092	0.0004343064297	99.18356687	0.7095886872	0.1068444397	91.99687988	7.002732184	1.000387935							0	0	0	-908.7197149	0.0004343064297	34.6020105105189	
908.6997149	92	7	1	0.001351238586	0.0008676471322	99.1828916	0.7101760767	0.1069323281	91.99064015	7.008196112	1.001163737							0	0	0	-908.6997149	0.0008676471322	46.1856595501377	
908.6597149	92	7	1	0.003147532772	0.001732498563	99.18154096	0.7113509173	0.1071081242	91.97816273	7.019122196	1.002715076							0	0	0	-908.6597149	0.001732498563	46.3207583837003	
908.5797149	92	7	1	0.006722908141	0.003454402224	99.17883931	0.7137009435	0.107459742	91.95321213	7.040970696	1.005817174							0	0	0	-908.5797149	0.003454402224	46.6056853047727	
908.4197149	92	7	1	0.01380508295	0.006866356122	99.17343459	0.7184022937	0.1081631186	91.90333107	7.084650268	1.012018662							0	0	0	-908.4197149	0.006866356122	47.2381737487576	
908.0997149	92	7	1	0.0276778775	0.01354526879	99.16261955	0.7278100523	0.1095704005	91.80365133	7.171938182	1.024410483							0	0	0	-908.0997149	0.01354526879	48.5405830463215	
907.4597149	92	7	1	0.05435639606	0.02640925678	99.14096636	0.746646451	0.1123871871	91.60461813	7.346231696	1.049150173							0	0	0	-907.4597149	0.02640925678	51.1042831585754	
906.1797149	92	7	1	0.1037996758	0.05028305997	99.09756634	0.7844039786	0.1180296823	91.20787361	7.693674285	1.098452102							0	0	0	-906.1797149	0.05028305997	56.5888213921969	
903.6197149	92	7	1	0.1894329226	0.09173900017	99.01038024	0.8602689398	0.1293508251	90.41978035	8.383883338	1.19633631							0	0	0	-903.6197149	0.09173900017	-424.532778837233	
901.0597149	92	7	1	0.2606968417	0.08409388385	98.92265683	0.9366204232	0.1407227442	89.63909163	9.06765126	1.293257113							0	0	0	-901.0597149	0.08409388385	-365.291092793786	
898.4997149	92	7	1	0.3208633885	0.07755217412	98.8343656	1.013487959	0.1521464378	88.86602687	9.744780599	1.389192531							0	0	0	-898.4997149	0.07755217412	-423.877308382905	
895.9397149	92	7	1	0.3722877813	0.07188907013	98.7454743	1.090902855	0.1636228476	88.10079165	10.41508652	1.484121838							0	0	0	-895.9397149	0.07188907013	-486.675789939755	
893.3797149	92	7	1	0.4167073398	0.06693699593	98.65594883	1.168898294	0.17515288	87.34357621	11.07839795	1.57802584							0	0	0	-893.3797149	0.06693699593	-553.657757950871	
890.8197149	92	7	1	0.4554309596	0.06256864929	98.56575322	1.247509361	0.1867374173	86.59455511	11.73455789	1.670887001							0	0	0	-890.8197149	0.06256864929	-624.809616919238	
