T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
C	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
603.1238879	79	19	2	0	0	98.05570716	0.9918647817	0.9524280585	79	19	2	0.002548312106	-0.002408223154	-0.000140088952	-876.2738879	0	74.7008387431256	
603.1038879	79	19	2	0.0002882197501	0.0002675238664	98.05536277	0.9921540825	0.952483146	78.99490375	19.00481601	2.000280241	0	0	0	-876.2538879	0.0002675238664	74.8185313909614	
603.0838879	79	19	2	0.0005759867916	0.0005346275671	98.05501841	0.9924434428	0.9525381435	78.98980877	19.00963102	2.000560214	0	0	0	-876.2338879	0.0005346275671	74.8979508204916	
603.0438879	79	19	2	0.001151044866	0.001068393267	98.05432971	0.9930219997	0.9526482881	78.97962299	19.01925687	2.001120142	0	0	0	-876.1938879	0.001068393267	74.9899274389215	
602.9638879	79	19	2	0.002298834908	0.002133766117	98.05295246	0.9941788864	0.9528686566	78.95926762	19.03849342	2.002238958	0	0	0	-876.1138879	0.002133766117	75.1977109533584	
602.8038879	79	19	2	0.004584702189	0.004255498754	98.05019852	0.9964916701	0.9533098084	78.91862171	19.07690567	2.004472615	0	0	0	-875.9538879	0.004255498754	75.668916165647	
602.4838879	79	19	2	0.009110144357	0.008456000611	98.04469337	1.001115734	0.954190895	78.83758429	19.15349693	2.008918788	0	0	0	-875.6338879	0.008456000611	76.6376989641079	
601.8438879	79	19	2	0.01800305286	0.01671039872	98.03369238	1.010350858	0.9559567644	78.6765313	19.30572577	2.017742932	0	0	0	-874.9938879	0.01671039872	78.4920660526167	
600.5638879	79	19	2	0.03516757819	0.03264259604	98.01172677	1.028776109	0.9594971165	78.35844533	19.60644337	2.035111294	0	0	0	-873.7138879	0.03264259604	82.3436876484476	
598.0038879	79	19	2	0.06720638801	0.06238137563	97.96792762	1.065463397	0.9666089805	77.73787826	20.19336514	2.068756598	0	0	0	-871.1538879	0.06238137563	90.2329049030442	
595.4438879	79	19	2	0.09653655047	0.08960612348	97.92427931	1.101958702	0.9737619921	77.13723258	20.76175653	2.101010895	0	0	0	-868.5938879	0.08960612348	98.3497774265564	
592.8838879	79	19	2	0.1234915581	0.1146262042	97.88075406	1.138298084	0.9809478558	76.55546044	21.31260423	2.131935333	0	0	0	-866.0338879	0.1146262042	106.784580945288	
590.3238879	79	19	2	0.1483595007	0.137708924	97.83732535	1.174513538	0.9881611137	75.99155561	21.84685061	2.161593777	0	0	0	-863.4738879	0.137708924	115.514476627681	
587.7638879	79	19	2	0.1713847921	0.1590810963	97.79396804	1.210635235	0.9953967214	75.44455657	22.36539571	2.190047717	0	0	0	-860.9138879	0.1590810963	124.526392024159	
585.2038879	79	19	2	0.192775899	0.1789362038	97.75065828	1.24669165	1.002650068	74.91355025	22.8690938	2.217355946	0	0	0	-858.3538879	0.1789362038	133.807299136444	
582.6438879	79	19	2	0.212711543	0.1974401469	97.70737334	1.282709679	1.009916982	74.39767361	23.35875199	2.243574397	0	0	0	-855.7938879	0.1974401469	143.344254559895	
580.0838879	79	19	2	0.2313456963	0.2147358729	97.66409152	1.318714766	1.017193717	73.89611379	23.83513014	2.268756077	0	0	0	-853.2338879	0.2147358729	153.124452400402	
577.5238879	79	19	2	0.2488116271	0.2309471268	97.62079205	1.354731025	1.024476929	73.40810718	24.29894175	2.292951075	0	0	0	-850.6738879	0.2309471268	163.135259304427	
574.9638879	79	19	2	0.2652251975	0.2461815077	97.57745499	1.390781366	1.031763646	72.93293782	24.75085556	2.31620662	0	0	0	-848.1138879	0.2461815077	173.364240981752	
572.4038879	79	19	2	0.2806875636	0.2605329722	97.53406115	1.42688761	1.039051238	72.46993528	25.19149755	2.338567178	0	0	0	-845.5538879	0.2605329722	183.799175923279	
569.8438879	79	19	2	0.2952873995	0.2740838966	97.49059202	1.463070599	1.046337381	72.01847232	25.62145312	2.360074565	0	0	0	-842.9938879	0.2740838966	194.428081621686	
567.2838879	79	19	2	0.3091027349	0.2869067808	97.44702967	1.499350303	1.053620027	71.57796249	26.04126943	2.380768074	0	0	0	-840.4338879	0.2869067808	205.239128116992	
564.7238879	79	19	2	0.3222024971	0.2990656779	97.40335671	1.535745912	1.060897377	71.14785724	26.45145812	2.400684638	0	0	0	-837.8738879	0.2990656779	216.220758342838	
562.1638879	79	19	2	0.3346477714	0.3106173635	97.35955621	1.572275936	1.068167849	70.72764397	26.8524971	2.419858933	0	0	0	-835.3138879	0.3106173635	227.361649676054	
559.6038879	79	19	2	0.3464928854	0.321612342	97.31561166	1.608958283	1.075430054	70.31684323	27.24483322	2.438323546	0	0	0	-832.7538879	0.321612342	238.650618309103	
557.0438879	79	19	2	0.3577863105	0.3320956819	97.27150688	1.645810339	1.082682778	69.91500653	27.62888437	2.456109101	0	0	0	-830.1938879	0.3320956819	250.076689989351	
554.4838879	79	19	2	0.3685714261	0.3421077252	97.22722601	1.68284904	1.089924952	69.52171407	28.00504154	2.473244392	0	0	0	-827.6338879	0.3421077252	261.629057854941	
551.9238879	79	19	2	0.3788871691	0.3516846905	97.18275341	1.720090945	1.097155644	69.13657275	28.37367074	2.489756508	0	0	0	-825.0738879	0.3516846905	273.2970764535	
549.3638879	79	19	2	0.3887685875	0.3608591863	97.13807367	1.757552293	1.104374035	68.7592142	28.73511484	2.505670952	0	0	0	-822.5138879	0.3608591863	285.070243863331	
546.8038879	79	19	2	0.398247315	0.3696606514	97.09317153	1.795249067	1.111579407	68.38929298	29.08969527	2.52101175	0	0	0	-819.9538879	0.3696606514	296.938180351197	
544.2438879	79	19	2	0.4073519775	0.3781157326	97.04803182	1.833197047	1.118771133	68.02648492	29.43771352	2.535801555	0	0	0	-817.3938879	0.3781157326	308.890623567592	
541.6838879	79	19	2	0.416108544	0.3862486101	97.00263947	1.871411865	1.12594866	67.67048558	29.77945267	2.550061749	0	0	0	-814.8338879	0.3862486101	320.917407565932	
539.1238879	79	19	2	0.4245406298	0.3940812793	96.95697944	1.909909053	1.133111503	67.3210088	30.11517867	2.563812529	0	0	0	-812.2738879	0.3940812793	333.008442208552	
536.5638879	79	19	2	0.4326697597	0.4016337951	96.91103668	1.948704089	1.140259235	66.97778541	30.44514159	2.577072992	0	0	0	-809.7138879	0.4016337951	345.153706492332	
534.0038879	79	19	2	0.4405155968	0.4089244842	96.86479608	1.987812446	1.147391478	66.64056202	30.76957676	2.589861217	0	0	0	-807.1538879	0.4089244842	357.343229239099	
531.4438879	79	19	2	0.4480961421	0.4159701308	96.81824247	2.027249632	1.154507898	66.30909987	31.0887058	2.602194332	0	0	0	-804.5938879	0.4159701308	369.567072909707	
528.8838879	79	19	2	0.4554279092	0.4227861388	96.77136057	2.067031235	1.161608198	65.98317382	31.40273759	2.614088586	0	0	0	-802.0338879	0.4227861388	381.815313757077	
526.3238879	79	19	2	0.462526078	0.4293866746	96.72413493	2.107172962	1.168692111	65.66257142	31.71186917	2.625559412	0	0	0	-799.4738879	0.4293866746	394.078044762665	
523.7638879	79	19	2	0.4694046291	0.4357847918	96.67654992	2.147690679	1.175759398	65.347092	32.01628652	2.636621481	0	0	0	-796.9138879	0.4357847918	406.345335539714	
