T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
893.375548	84	14	2	0	0	98.29947084	0.6450828872	1.055446274	84	14	2							0.003108658626	-0.002903321344	-0.0002053372824	-893.375548	0	22.8472156988598	
893.365548	84	14	2	0.0002285592386	0.0002175122076	98.29930196	0.645214649	1.055483391	83.99689138	14.0029032	2.000205421							0	0	0	-893.365548	0.0002175122076	69.1016464852865	
893.345548	84	14	2	0.0006849968197	0.0004344961984	98.29896427	0.6454781984	1.055557528	83.99067535	14.00870867	2.000615983							0	0	0	-893.345548	0.0004344961984	92.214384903501	
893.305548	84	14	2	0.001596387496	0.0008678767057	98.29828899	0.6460051719	1.055705834	83.97824847	14.02031479	2.001436739							0	0	0	-893.305548	0.0008678767057	92.4050325479976	
893.225548	84	14	2	0.003413282143	0.001731629773	98.29693899	0.6470586703	1.056002343	83.95341537	14.043508	2.003076634							0	0	0	-893.225548	0.001731629773	92.8411245249691	
893.065548	84	14	2	0.007023685385	0.003446857203	98.2942404	0.6491639052	1.056595692	83.90383177	14.08981827	2.006349964							0	0	0	-893.065548	0.003446857203	93.7320267391953	
892.745548	84	14	2	0.01415221831	0.006828835244	98.28884953	0.653367333	1.057783141	83.80499469	14.18213451	2.012870805							0	0	0	-892.745548	0.006828835244	95.6356189894927	
892.105548	84	14	2	0.02802813601	0.01338579056	98.27809561	0.6617503174	1.06015407	83.60863127	14.36557201	2.025796719							0	0	0	-892.105548	0.01338579056	99.5902708937952	
890.825548	84	14	2	0.05438753024	0.02577230825	98.25668861	0.6784154219	1.064895971	83.22112298	14.72766037	2.05121665							0	0	0	-890.825548	0.02577230825	107.758028534081	
888.265548	84	14	2	0.1021267397	0.04790686239	98.21424968	0.7113608424	1.074389481	82.46666198	15.43296887	2.100369149							0	0	0	-888.265548	0.04790686239	-867.219893426795	
885.705548	84	14	2	0.1441437704	0.04428217017	98.17224118	0.7437888257	1.083969991	81.73896109	16.11357601	2.147462899							0	0	0	-885.705548	0.04428217017	-753.561118106343	
883.145548	84	14	2	0.1813855597	0.04106426148	98.13061733	0.7757387151	1.093643954	81.03702568	16.77038402	2.192590302							0	0	0	-883.145548	0.04106426148	-847.466336940312	
880.585548	84	14	2	0.2146100832	0.03819971337	98.08933796	0.8072470417	1.103415001	80.35976115	17.40438991	2.235848941							0	0	0	-880.585548	0.03819971337	-950.14035723582	
878.025548	84	14	2	0.244428201	0.03564116199	98.04836766	0.8383480942	1.113284241	79.70601869	18.01664418	2.277337129							0	0	0	-878.025548	0.03564116199	-1061.74096359971	
